N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
683,영풍제지,"6,870",500,"1,525","22,200",0.19,"60,791",17.89,6.94
684,샘표,"52,800","1,000","1,518","2,876",5.71,"5,164",8.49,10.50
685,삼익악기,"1,670",500,"1,512","90,531",4.09,"365,212",15.05,4.49
686,유화증권,"2,665","1,000","1,511","56,702",3.37,"68,760",38.07,1.12
687,대신증권2우B,"15,050","5,000","1,505","10,000",1.89,"33,789",8.82,N/A
688,태경케미컬,"12,950",500,"1,502","11,600",0.45,"127,681",19.42,6.37
689,SH에너지화학,"1,350",500,"1,500","111,134",33.95,"126,165,981",-22.13,-7.29
690,디와이,"5,700",500,"1,500","26,320",10.04,"34,619",-12.81,-3.39
691,쌍방울,618,500,"1,486","240,478",2.01,"1,260,209",-7.19,-8.46
692,기신정기,"5,080",500,"1,483","29,200",65.54,"154,708",17.05,3.69
693,일진전기,"3,980","1,000","1,476","37,080",2.28,"181,569",30.62,1.57
694,SG세계물산,729,500,"1,476","202,425",2.15,"692,904",-14.29,-5.16
695,마니커,737,500,"1,463","198,473",2.65,"1,089,947",-3.70,-44.06
696,SK우,"256,500",200,"1,452",566,2.81,"4,141",96.07,N/A
697,KINDEX 미국나스닥100,"11,870",0,"1,448","12,200",0.01,"92,344",N/A,N/A
698,남광토건,"14,700","5,000","1,445","9,829",1.69,"45,167",10.50,23.10
699,핸즈코퍼레이션,"6,590",500,"1,441","21,863",0.66,"23,102",-18.31,-2.52
700,한창제지,"2,405",500,"1,435","59,667",2.14,"1,149,720",13.59,11.72
701,신원,"1,675",500,"1,424","85,042",2.79,"485,561",-18.61,-3.92
702,경동도시가스,"24,150","2,500","1,424","5,895",15.42,"27,144",7.50,5.46
703,남성,"3,895",500,"1,410","36,212",0.32,"334,552",-8.81,-19.75
704,미창석유,"80,700","5,000","1,404","1,740",32.19,"1,445",7.13,7.36
705,이건산업,"12,800","5,000","1,402","10,953",4.72,"307,426",83.12,0.96
706,KODEX 한국대만IT프리미어,"20,010",0,"1,401","7,000",0.00,"30,454",N/A,N/A
707,동일고무벨트,"10,050",500,"1,397","13,900",3.02,"62,022",19.18,3.70
708,신풍제약우,"63,400",500,"1,395","2,200",0.58,"37,794",696.70,N/A
709,계양전기,"4,265",500,"1,390","32,600",2.04,"117,857",14.51,5.30
710,형지엘리트,"4,460",500,"1,390","31,155",0.39,"176,495",557.50,-2.02
711,세아특수강,"16,200","5,000","1,388","8,570",2.99,"63,908",-31.46,-1.42
712,DRB동일,"6,950",500,"1,385","19,930",1.74,"26,287",59.40,0.66
713,TIGER 차이나CSI300레버리지(합성),"30,710",0,"1,382","4,500",0.05,"13,957",N/A,N/A
714,지엠비코리아,"7,230",500,"1,379","19,072",55.75,"50,521",-16.74,-3.69
715,세하,"2,390","1,000","1,376","57,563",0.15,"5,631,391",7.89,21.14
716,SNT에너지,"18,300",500,"1,374","7,507",3.87,"27,623",14.03,4.07
717,큐로,594,500,"1,373","231,212",2.01,"975,739",99.00,1.34
718,CJ우,"60,700","5,000","1,372","2,260",13.52,"4,981",24.98,N/A
719,국제약품,"7,040","1,000","1,357","19,276",2.00,"84,115",61.75,3.35
720,TIGER 200선물레버리지,"20,215",0,"1,354","6,700",0.00,"234,455",N/A,N/A
721,시디즈,"67,600",500,"1,352","2,000",1.40,"9,497",7.80,42.92
722,서울식품,367,100,"1,350","367,966",0.94,"12,389,253",-52.43,-9.36
723,광전자,"2,330",500,"1,350","57,944",21.22,"98,237",-8.50,-7.56
724,부산산업,"127,500","5,000","1,346","1,056",0.92,"6,788",54.65,4.33
725,대유플러스,"1,130",500,"1,344","118,955",1.27,"2,376,804",-14.87,-9.07
726,토니모리,"7,610",200,"1,342","17,640",0.59,"8,979",-3.55,-46.89
727,신흥,"14,100",500,"1,340","9,500",0.31,"7,028",10.89,14.45
728,보락,"2,220",200,"1,330","59,900",1.44,"212,859",317.14,0.90
729,TIGER 헬스케어,"40,980",0,"1,328","3,240",0.67,"36,276",N/A,N/A
730,KBSTAR 200TR,"21,465",0,"1,320","6,150",0.00,141,N/A,N/A
731,태평양물산,"2,740",500,"1,319","48,150",2.05,"998,299",-10.92,-7.14
732,KODEX 미국S&P500선물(H),"20,055",0,"1,314","6,550",0.01,"12,137",N/A,N/A
733,인터지스,"4,395",500,"1,307","29,748",0.36,"986,585",25.70,2.81
734,현대코퍼레이션홀딩스,"14,200","5,000","1,292","9,101",4.14,"50,778",7.29,9.98
735,대유에이텍,"1,200",500,"1,289","107,411",1.33,"786,462",-63.16,-1.86
736,대신 골드 커버드콜 타겟 5%인컴 ETN(H),"12,865",0,"1,286","10,000",0.00,1,N/A,N/A
737,TIGER 현대차그룹+펀더멘털,"26,390",0,"1,283","4,860",0.00,"18,703",N/A,N/A
738,대양금속,"4,330",500,"1,280","29,566",1.77,"588,572",-270.62,-0.91
739,한국공항,"40,350","5,000","1,278","3,166",6.57,"7,090",-2.69,-15.94
740,삼일제약,"9,480",500,"1,271","13,411",2.06,"45,771",92.94,2.13
741,TRUE 코스피 양매도 5% OTM ETN,"8,460",0,"1,269","15,000",0.00,30,N/A,N/A
742,에쓰씨엔지니어링,"4,400",500,"1,268","28,807",1.80,"229,934",-97.78,-5.06
743,서원,"2,650",500,"1,258","47,475",2.72,"513,866",-23.04,-5.38
744,신한 레버리지 은 선물 ETN(H),"12,575",0,"1,258","10,000",0.07,"116,443",N/A,N/A
745,상상인증권,"1,295","1,000","1,255","96,894",1.07,"232,502",49.81,1.54
746,삼호개발,"4,980",500,"1,245","25,000",7.57,"98,293",6.69,9.26
747,대창단조,"8,670","1,000","1,239","14,286",8.10,"183,320",9.32,7.20
748,한미글로벌,"11,300",500,"1,238","10,958",4.32,"190,393",13.31,7.84
749,유니온,"7,920",500,"1,236","15,612",1.03,"274,361",8.53,12.93
750,한진중공업홀딩스,"4,185","5,000","1,236","29,530",1.32,"70,559",-32.44,-1.15
751,KTcs,"2,890",500,"1,234","42,685",8.18,"158,356",11.51,6.64
752,퍼스텍,"2,535",500,"1,218","48,061",2.24,"289,293",16.90,19.81
753,미래에셋 코스피 양매도 5% OTM ETN,"8,115",0,"1,217","15,000",0.00,0,N/A,N/A
